"country";"PDI";"IDV";"MAS";"UAI";"usuarios";"responderam_prop";"perguntaram_prop";"editaram_prop";"comentaram_prop";"GNI";"Internet";"EPI"
"Egypt";70;25;45;80;1965;0,443256997;0,518575064;0,074300254;0,186259542;3000;95;42,13
"Morocco";70;25;53;68;547;0,444241316;0,49725777;0,071297989;0,166361974;2950;53;42,43
"Costa Rica";35;15;21;86;431;0,487238979;0,489559165;0,05800464;0,201856148;8740;42,1;48,53
"El Salvador";66;19;40;94;133;0,473684211;0,496240602;0,052631579;0,135338346;3580;18,9;43,46
"Guatemala";95;6;37;101;215;0,51627907;0,446511628;0,055813953;0,172093023;3140;12,3;45,77
"Mexico";81;30;69;82;2973;0,473595695;0,454086781;0,06390851;0,182980155;9600;35;49,83
"Panama";95;11;44;86;116;0,474137931;0,50862069;0,017241379;0,146551724;9850;42,7;43,7
"Brazil";69;38;49;76;10717;0,482691052;0,465801997;0,083512177;0,203881683;11630;45;49,96
"Chile";63;23;28;86;1075;0,48372093;0,484651163;0,07627907;0,210232558;14280;52,3;48,75
"Colombia";67;13;64;80;1224;0,477941176;0,496732026;0,059640523;0,171568627;6990;40,4;48,54
"Ecuador";78;8;63;67;278;0,449640288;0,446043165;0,039568345;0,161870504;5200;31,4;51,05
"Peru";64;16;42;87;534;0,47752809;0,468164794;0,093632959;0,228464419;5880;36;51,46
"Uruguay";61;36;38;100;569;0,567662566;0,518453427;0,101933216;0,261862917;13510;51,4;49,61
"India";77;48;56;40;70970;0,455826406;0,581442863;0,094744258;0,202296745;1530;10,1;53,54
"Iraq";95;30;70;85;144;0,291666667;0,430555556;0,041666667;0,0625;5870;5;38,02
"Kuwait";90;25;40;80;168;0,410714286;0,595238095;0,077380952;0,18452381;44100;74,2;41,8
"Saudi Arabia";95;25;60;80;328;0,411585366;0,5;0,067073171;0,155487805;21210;47,5;39,48
"China";80;20;66;30;13401;0,355719722;0,363107231;0,029773897;0,107827774;5680;38,3;50,15
"Indonesia";78;14;46;48;3585;0,321059972;0,421478382;0,035983264;0,110739191;3420;12,3;52,74
"Japan";54;46;95;92;2692;0,448736999;0,428306092;0,086181278;0,192421991;47870;79,1;52,88
"Malaysia";104;26;50;36;1554;0,405405405;0,562419562;0,073359073;0,187902188;9800;61;59,73
"Singapore";74;20;48;8;2270;0,522907489;0,601321586;0,101321586;0,276651982;47210;71;59,58
"South Korea";60;18;39;85;1784;0,319506726;0,406950673;0,041479821;0,106502242;22670;83,8;53,62
"Thailand";64;20;34;64;1152;0,388888889;0,410590278;0,058159722;0,170138889;5210;23,7;47,79
"Vietnam";70;20;40;30;2319;0,370418284;0,421302285;0,037516171;0,128503665;1400;35,1;51,57
"Czech Republic";57;58;57;74;2701;0,574601999;0,542391707;0,117734173;0,299518697;18130;73;57,42
"Estonia";40;60;30;60;621;0,595813205;0,581320451;0,141706924;0,322061192;15830;76,5;61,39
"Finland";33;63;26;59;2046;0,585043988;0,489247312;0,129521017;0,31427175;46940;89,4;64,4
"Hungary";46;80;88;82;1842;0,560260586;0,508686211;0,116720955;0,292073833;12370;70;58,55
"Latvia";44;70;40;63;673;0,569093611;0,557206538;0,108469539;0,320950966;14200;71,7;59,43
"Romania";90;30;42;90;3570;0,564145658;0,578431373;0,113445378;0,289915966;8150;44;58,63
"Russia";93;39;36;95;10701;0,517615176;0,485842445;0,083263246;0,240538267;12700;49;50,44
"Slovenia";71;27;19;88;692;0,612716763;0,628612717;0,111271676;0,333815029;22810;69;60,6
"Turkey";66;37;45;85;4506;0,467598757;0,505326232;0,088104749;0,218153573;10830;43,1;47,8
"Austria";11;55;79;70;2518;0,631056394;0,593328038;0,149324861;0,350277998;48160;79,8;63,21
"Belgium";65;75;54;94;4275;0,608187135;0,608888889;0,146666667;0,320233918;44990;78;61,21
"Denmark";18;74;16;23;4029;0,556713825;0,621245967;0,115909655;0,289401837;59770;90;69,3
"France";68;71;43;86;11450;0,591004367;0,550305677;0,131528384;0,292838428;41750;79,6;52,69
"Germany";35;67;66;65;18374;0,616414499;0,597637967;0,160988353;0,343583324;44010;83;60,89
"Italy";50;76;70;75;6822;0,529170331;0,589123424;0,105834066;0,255496922;33840;56,8;52,8
"Netherlands";38;80;14;53;9298;0,616799312;0,59539686;0,149709615;0,328027533;48250;92,3;68,99
"Norway";31;69;8;50;3128;0,599744246;0,588235294;0,124680307;0,341112532;98860;94;64,33
"Poland";68;60;64;93;6069;0,58329214;0,567144505;0,126379964;0,311253913;12660;64,9;64,26
"Portugal";63;27;31;104;2851;0,525780428;0,576289021;0,106278499;0,248333918;20580;57,8;56,83
"Spain";57;51;42;86;7349;0,526330113;0,503333787;0,092801742;0,23458974;30110;67,6;57,18
"Sweden";31;71;5;29;6980;0,601289398;0,593839542;0,138968481;0,334527221;56210;94;67,8
"Switzerland";34;68;70;58;3623;0,635109026;0,602815346;0,16864477;0,359922716;82730;85,2;58,29
"Hong Kong";68;25;57;29;970;0,509278351;0,541237113;0,093814433;0,267010309;36560;72,2;52,5
"Slovakia";104;52;110;51;861;0,570267131;0,579558653;0,133565621;0,315911731;17180;74,4;55,96
